State/Ut,Confirmed,Active,Recovered,Deceased
Maharashtra,"5672180","31041","5276203","92225"
Karnataka,"2523998","402203","2094369","27405"
Kerala,"2448556","241972","2198135","8064"
Tamil Nadu,"1978621","313048","1643284","22289"
Uttar Pradesh,"1683862","58267","1605696","19899"
Andhra Pradesh,"1643557","186782","1446244","10531"
Delhi,"1422549","16378","1382359","23812"
West Bengal,"1331249","117154","1199120","14975"
Chattisgarh,"962368","49420","900100","12848"
Rajasthan,"931200","71099","851998","8103"
Gujrat,"800866","49082","742050","9734"
Madhya pradesh,"773855","38327","727700","7828"
Haryana,"750062","28189","7,13934","7939"
Odisha,"732739","94889","635179","2671"
Bihar,"700897","28447","667506","4943"
Telengana,"567517","38267","526043","3207"
Punjab,"556089","48231","493854","14004"
Assam,"386870","53721","334418","3088"
Jharkhand,"334035","13177","316707","4926"
Uttarakhand,"323483","39177","272488","6201"
Jammu and Kashmir,"281628","42272","235617","3739"
Himachal Pradesh,"185819","20184","162636","2976"
Goa,"152401","15699","134164","2538"
Puducherry,"100677","14473","84749","1455"
Chandigarh,"59416","3129","55558",729
Tripura,"48504","7508","40497",476
Manipur,"47111","7462","38901",748
Meghalaya,"33104","8255","24325",524
Arunachal Pradesh,"25820","3692","22019",109
Nagaland,"21023","4941","15124",338
Ladakh,"18045","1656","16345",185
Sikkim,"14220","3612","10158",240
Mizoram,"11143","2622","8487",34
Dadra and Nagar Haveli,"9961",445,"9478",4
Lakshwadeep,"7364","2200","5110",28
Andaman and Nicobar Island,"6917",217,"6591",109
India,"27547705","2327158","24897146","318924"
